Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Zambia,10585220.0,10861238.0,11139978.0,11426006.0,11725635.0,12043591.0,12381509.0,12738676.0,13114579.0,13507849.0,13917439.0,14343526.0,14786581.0,15246086.0,15721343.0,16211767.0
Zimbabwe,12499981.0,12603988.0,12691431.0,12774162.0,12867828.0,12984418.0,13127942.0,13297798.0,13495462.0,13720997.0,13973897.0,14255592.0,14565482.0,14898092.0,15245855.0,15602751.0
Arab World,281326250.0,287291826.0,293402563.0,299731956.0,306387415.0,313430911.0,320906736.0,328766559.0,336886468.0,345054176.0,353112237.0,361031820.0,368802611.0,376504253.0,384222592.0,392022276.0
Caribbean small states,6454716.0,6497461.0,6532561.0,6567210.0,6603018.0,6640916.0,6681231.0,6723587.0,6767278.0,6811213.0,6854569.0,6896697.0,6937108.0,6975754.0,7012857.0,7048966.0
East Asia & Pacific,2045729346.0,2064266243.0,2081848420.0,2098602000.0,2114743503.0,2130541816.0,2146013429.0,2160761464.0,2175670361.0,2190185797.0,2204613382.0,2219109404.0,2233936812.0,2248920288.0,2264064351.0,2279186469.0
East Asia & Pacific (excluding high income),1814543356.0,1831803900.0,1848308223.0,1864184472.0,1879602648.0,1894744514.0,1909251689.0,1923095029.0,1936736134.0,1950280764.0,1963842316.0,1977658253.0,1991783241.0,2006123447.0,2020656037.0,2035129646.0
Euro area,320997414.0,322454670.0,324128255.0,325890549.0,327687926.0,329385346.0,330925570.0,332644496.0,334270178.0,335353297.0,336142557.0,336940330.0,336161537.0,338755304.0,338617134.0,339425073.0
Europe & Central Asia,861989674.0,863492336.0,865189443.0,867472980.0,870067822.0,872720228.0,875415605.0,878428497.0,881925905.0,885580688.0,889077523.0,892816142.0,895050287.0,900863153.0,903987814.0,907944124.0
Europe & Central Asia (excluding high income),392648544.0,392415533.0,392122448.0,392288707.0,392654477.0,393077520.0,393637104.0,394217145.0,395265896.0,397037901.0,399121746.0,401448188.0,403830537.0,406424758.0,408984246.0,411338238.0
European Union,487865459.0,489073595.0,490424475.0,492252932.0,494232263.0,496200867.0,498074489.0,499915977.0,501803925.0,503310374.0,504412209.0,505526581.0,505098575.0,508050888.0,508344735.0,509668361.0
Heavily indebted poor countries (HIPC),474127024.0,487633972.0,501659710.0,516163015.0,531070213.0,546329345.0,561934621.0,577914150.0,594288511.0,611087950.0,628333588.0,646028823.0,664163813.0,682730030.0,701714118.0,721104105.0
High income,1074878739.0,1082312299.0,1089656214.0,1096885903.0,1104476123.0,1112235304.0,1120543449.0,1129339051.0,1138677189.0,1147005992.0,1154477199.0,1161326328.0,1166574800.0,1174927882.0,1180597445.0,1187189841.0
Latin America & Caribbean,525907201.0,533470758.0,540906214.0,548247528.0,555537969.0,562806404.0,570053899.0,577273042.0,584461446.0,591604073.0,598690163.0,605694637.0,612638376.0,619513507.0,626285603.0,632959079.0
Latin America & Caribbean (excluding high income),501172602.0,508521178.0,515744299.0,522876279.0,529958993.0,537022336.0,544072618.0,551099144.0,558093934.0,565043167.0,571935098.0,578766919.0,585536615.0,592233875.0,598846559.0,605364992.0
Least developed countries: UN classification,664386087.0,681362484.0,698794943.0,716594050.0,734626511.0,752794655.0,771082091.0,789544690.0,808296705.0,827498335.0,847264134.0,867666290.0,888606627.0,910063594.0,931955068.0,954218054.0
Low & middle income,5040565572.0,5113277261.0,5185077870.0,5257090524.0,5329272591.0,5401724600.0,5474179013.0,5546493627.0,5619625334.0,5693949714.0,5769206886.0,5845581661.0,5922876751.0,6001164310.0,6080182833.0,6159443196.0
Low income,423655372.0,435383252.0,447534597.0,460075083.0,472947363.0,486113306.0,499559269.0,513311068.0,527415958.0,541939703.0,556926383.0,572393050.0,588316015.0,604648276.0,621322015.0,638286288.0
Lower middle income,2312488976.0,2352812601.0,2393060046.0,2433405412.0,2473856010.0,2514348032.0,2554924913.0,2595645346.0,2636521964.0,2677558873.0,2719003012.0,2760562037.0,2801879869.0,2843404367.0,2885248344.0,2927414098.0
